Team,Player,P,H/C,Rookie,Nat,School,GP,SOG,KSt,GS,G,A,A1,P,P1,ES G,ES A,ES A1,ES P,ES P1,PP G,PP A,PP A1,PP P,PP P1,SH G,SH A,SH A1,SH P,SH P1,PSG,EN,OTG,SOW,Pts/GP,P1/GP,SOG/GP,KSt/GP,GS/GP,5v5 GF%,FO%,PenT,PenD,PIM,FOW,FOL,BkS,GvA,TkA,Sh%,5v5 GF,5v5 GA,DIFF,PenDiff,Player
MET,Kate Leary,F,R,*,USA,Boston College,22,94,105,33.25,16,11,9,27,25,13,8,7,21,20,3,3,2,6,5,,,,0,0,,1,,,1.23,1.14,4.27,4.77,1.51,56.52,37.50,9,17,18,3,5,10,22,17,0.17,26,20,6,8,Kate Leary
BUF,Corinne Buie,F,R,,USA,Providence,24,68,84,16.37,6,7,4,13,10,4,4,2,8,6,2,3,2,5,4,,,,0,0,,1,,,0.54,0.42,2.83,3.50,0.68,36.59,49.27,9,7,18,202,208,9,9,13,0.09,15,26,-11,-2,Corinne Buie
BOS,Lexi Bender,D,R,,USA,Boston College,24,43,65,13.85,4,9,4,13,8,2,7,3,9,5,2,2,1,4,3,,,,0,0,,,,,0.54,0.33,1.79,2.71,0.58,75.00,#DIV/0!,9,4,18,,,11,9,10,0.09,27,9,18,-5,Lexi Bender
CTW,Hanna Beattie,F|D,L,,USA,Williams College (DIII),22,26,41,7.04,3,3,2,6,5,3,2,1,5,4,,1,1,1,1,,,,0,0,,,,,0.27,0.23,1.18,1.86,0.32,25.81,52.94,9,8,18,27,24,12,15,25,0.12,8,23,-15,-1,Hanna Beattie
MET,Tatiana Shatalova,F,L,*,RUS,[Russia],23,64,80,14.98,2,10,6,12,8,2,7,4,9,6,,3,2,3,2,,,,0,0,,,,1,0.52,0.35,2.78,3.48,0.65,33.33,44.44,9,8,29,4,5,4,17,7,0.03,11,22,-11,-1,Tatiana Shatalova
BUF,Taylor Accursi,F,L,,CAN,Mercyhurst University,24,69,86,27.87,16,9,6,25,22,11,5,3,16,14,5,4,3,9,8,,,,0,0,,,,,1.04,0.92,2.88,3.58,1.16,34.00,34.29,8,13,16,12,23,2,15,8,0.23,17,33,-16,5,Taylor Accursi
BOS,Emily Fluke,F,R,,USA,Middlebury College (DIII),23,49,58,25.97,9,18,9,27,18,8,17,8,25,16,1,1,1,2,2,,,,0,0,,,,,1.17,0.78,2.13,2.52,1.13,87.50,34.78,8,11,16,8,15,10,9,10,0.18,28,4,24,3,Emily Fluke
CTW,Kendra Broad,F,R,*,CAN,Lindenwood Univ,20,30,41,3.69,2,1,0,3,2,1,,,1,1,1,1,,2,1,,,,0,0,,1,,,0.15,0.10,1.50,2.05,0.18,25.00,45.78,8,13,27,38,45,2,9,17,0.07,5,15,-10,5,Kendra Broad
MET,Colleen Murphy,D,R,,USA,Northeastern,24,33,48,7.78,1,6,3,7,4,1,3,1,4,2,,3,2,3,2,,,,0,0,,,,,0.29,0.17,1.38,2.00,0.32,47.50,#DIV/0!,8,5,16,,,15,10,21,0.03,19,21,-2,-3,Colleen Murphy
MIN,Chelsey Brodt Rosenthal,D,R,,USA,Minnesota,22,14,20,2.07,0,3,0,3,0,,2,,2,0,,1,,1,0,,,,0,0,,,,,0.14,0.00,0.64,0.91,0.09,56.00,0.00,8,2,16,,1,11,5,3,0.00,14,11,3,-6,Chelsey Brodt Rosenthal
BOS,McKenna Brand,F,L,,USA,Northeastern,24,138,170,45.52,19,17,12,36,31,18,13,10,31,28,1,4,2,5,3,,,,0,0,,1,,,1.50,1.29,5.75,7.08,1.90,78.43,38.46,7,6,14,5,8,2,13,18,0.14,40,11,29,-1,McKenna Brand
MIN,Meghan Lorence,F,L,*,USA,Minnesota,24,80,94,26.20,10,11,6,21,16,4,7,4,11,8,4,4,2,8,6,2,,,2,2,,,,,0.88,0.67,3.33,3.92,1.09,58.06,63.16,7,8,14,12,7,7,6,15,0.13,18,13,5,1,Meghan Lorence
CTW,Emma Vlasic,F,L,*,USA,Yale,24,67,76,23.34,9,0,0,9,9,7,,,7,7,2,,,2,2,,,,0,0,,,,,0.38,0.38,2.79,3.17,0.97,28.13,57.95,7,4,14,288,209,20,7,10,0.13,9,23,-14,-3,Emma Vlasic
MIN,Sydney Baldwin,D,L,*,USA,Minnesota,17,55,78,20.38,8,10,6,18,14,5,8,5,13,10,3,1,,4,3,,1,1,1,1,,,,,1.06,0.82,3.24,4.59,1.20,74.07,0.00,7,6,14,,1,13,11,10,0.15,20,7,13,-1,Sydney Baldwin
BUF,Kandice Sheriff,F,L,*,CAN,RIT,24,23,29,3.04,1,1,1,2,2,1,1,1,2,2,,,,0,0,,,,0,0,,,,,0.08,0.08,0.96,1.21,0.13,29.27,47.62,7,2,14,10,11,19,4,3,0.04,12,29,-17,-5,Kandice Sheriff
BOS,Christina Putigna,F,L,*,CAN,Providence,24,96,115,34.14,8,21,14,29,22,6,19,12,25,18,2,2,2,4,4,,,,0,0,,1,,,1.21,0.92,4.00,4.79,1.42,71.74,62.50,6,2,12,5,3,9,21,21,0.08,33,13,20,-4,Christina Putigna
MIN,Stephanie Anderson,F,L,*,USA,Minnesota/Bemidji State,22,51,64,13.93,4,6,6,10,10,3,4,4,7,7,1,2,2,3,3,,,,0,0,,,,,0.45,0.45,2.32,2.91,0.63,40.00,51.58,6,7,12,49,46,6,6,11,0.08,10,15,-5,1,Stephanie Anderson
CTW,Elena Orlando,D,L,,USA,Qunnipiac,24,23,38,3.97,0,3,2,3,2,,2,1,2,1,,1,1,1,1,,,,0,0,,,,,0.13,0.08,0.96,1.58,0.17,30.00,66.67,6,6,12,2,1,23,16,8,0.00,12,28,-16,0,Elena Orlando
CTW,Taylor Marchin,D,R,,USA,Yale,24,45,68,6.06,0,3,2,3,2,,2,1,2,1,,1,1,1,1,,,,0,0,,,,,0.13,0.08,1.88,2.83,0.25,22.22,#DIV/0!,6,5,12,,,30,10,9,0.00,8,28,-20,-1,Taylor Marchin
MIN,Kalli Funk,F|D,L,,USA,St. Cloud State,11,10,14,1.20,0,1,0,1,0,,1,,1,0,,,,0,0,,,,0,0,,,,,0.09,0.00,0.91,1.27,0.11,20.00,100.00,6,1,12,4,,2,5,0,0.00,1,4,-3,-5,Kalli Funk
MIN,Jonna Curtis,F,R,,USA,New Hampshire,21,82,97,38.71,14,22,16,36,30,10,16,14,26,24,4,6,2,10,6,,,,0,0,,,,,1.71,1.43,3.90,4.62,1.84,79.07,29.17,5,11,10,7,17,11,11,14,0.17,34,9,25,6,Jonna Curtis
MIN,Amanda Boulier,D,R,,USA,St. Lawrence,22,39,63,25.76,6,21,11,27,17,5,14,6,19,11,1,7,5,8,6,,,,0,0,,,,,1.23,0.77,1.77,2.86,1.17,66.67,100.00,5,12,10,1,,20,16,16,0.15,30,15,15,7,Amanda Boulier
CTW,Sarah Schwenzfeier,F,R,,USA,Norwich University (DIII),22,55,63,8.70,6,3,2,9,8,6,2,1,8,7,,1,1,1,1,,,,0,0,,,,1,0.41,0.36,2.50,2.86,0.40,34.48,45.70,5,6,10,218,259,18,6,20,0.11,10,19,-9,1,Sarah Schwenzfeier
MET,Brooke Avery,F,R,*,USA,Syracuse,21,35,41,7.86,5,0,0,5,5,5,,,5,5,,,,0,0,,,,0,0,,,,,0.24,0.24,1.67,1.95,0.37,30.00,50.43,5,1,10,59,58,10,8,8,0.14,6,14,-8,-4,Brooke Avery
BOS,Mallory Souliotis,D,R,,USA,Yale,22,54,79,18.25,4,12,7,16,11,1,9,5,10,6,3,3,2,6,5,,,,0,0,,,,,0.73,0.50,2.45,3.59,0.83,77.08,#DIV/0!,5,6,10,,,22,8,11,0.07,37,11,26,1,Mallory Souliotis
MIN,Haylea Schmid,F,R,,USA,St. Cloud State,24,78,89,14.67,4,9,5,13,9,4,9,5,13,9,,,,0,0,,,,0,0,,,,,0.54,0.38,3.25,3.71,0.61,62.50,45.92,5,2,10,180,212,9,11,23,0.05,20,12,8,-3,Haylea Schmid
MET,Kiira Dosdall-Arena,D,R,,USA,Cornell,13,13,17,2.21,1,1,0,2,1,1,1,,2,1,,,,0,0,,,,0,0,,,,,0.15,0.08,1.00,1.31,0.17,43.48,#DIV/0!,5,1,10,,,10,7,7,0.08,10,13,-3,-4,Kiira Dosdall-Arena
MET,Mallory Rushton,F,L,*,CAN,RIT,24,59,81,15.77,1,12,8,13,9,1,9,5,10,6,,3,3,3,3,,,,0,0,,,,,0.54,0.38,2.46,3.38,0.66,27.91,40.00,5,4,13,4,6,6,18,11,0.02,12,31,-19,-1,Mallory Rushton
MIN,Winny Brodt Brown,D,L,,USA,New Hampshire/Minnesota,20,6,11,3.17,0,5,1,5,1,,4,,4,0,,1,1,1,1,,,,0,0,,,,,0.25,0.05,0.30,0.55,0.16,60.61,25.00,5,2,10,1,3,13,3,3,0.00,20,13,7,-3,Winny Brodt Brown
BOS,Marisa Raspa,F,R,*,USA,RPI,11,11,14,1.45,0,1,0,1,0,,1,,1,0,,,,0,0,,,,0,0,,,,,0.09,0.00,1.00,1.27,0.13,75.00,54.76,5,1,10,23,19,0,4,6,0.00,6,2,4,-4,Marisa Raspa
BOS,Tori Sullivan,F,R,*,USA,Northeastern,24,62,71,27.65,11,14,8,25,19,6,9,5,15,11,5,5,3,10,8,,,,0,0,,,,1,1.04,0.79,2.58,2.96,1.15,70.37,48.00,4,7,8,12,13,3,8,8,0.18,19,8,11,3,Tori Sullivan
MET,Leila Kilduff,D,L,*,USA,Minnesota State U.,22,22,33,6.26,4,1,0,5,4,3,1,,4,3,1,,,1,1,,,,0,0,,,,,0.23,0.18,1.00,1.50,0.28,50.00,#DIV/0!,4,2,8,,,27,10,5,0.18,14,14,0,-2,Leila Kilduff
MIN,Lisa Martinson,D,R,,USA,St. Cloud State,18,27,42,8.09,1,7,2,8,3,1,6,1,7,2,,1,1,1,1,,,,0,0,,,,,0.44,0.17,1.50,2.33,0.45,75.76,0.00,4,,8,,1,6,7,4,0.04,25,8,17,-4,Lisa Martinson
MIN,Nina Rodgers,F,R,,USA,Minnesota/Boston University,7,9,11,3.87,1,3,2,4,3,1,2,2,3,3,,1,,1,0,,,,0,0,,,,,0.57,0.43,1.29,1.57,0.55,60.00,100.00,4,1,8,1,,1,0,1,0.11,3,2,1,-3,Nina Rodgers
BUF,Ashley Birdsall,F|D,R,*,USA,Univ. of Wisconsion-Superior (DIII),18,6,12,2.45,1,2,1,3,2,1,2,1,3,2,,,,0,0,,,,0,0,,,,,0.17,0.11,0.33,0.67,0.14,29.41,40.00,4,1,8,2,3,5,3,2,0.17,5,12,-7,-3,Ashley Birdsall
MIN,Emma Stauber,D,L,,USA,Minnesota-Duluth,10,15,19,3.36,0,3,2,3,2,,2,2,2,2,,1,,1,0,,,,0,0,,,,,0.30,0.20,1.50,1.90,0.34,68.18,#DIV/0!,4,7,8,,,3,5,3,0.00,15,7,8,3,Emma Stauber
MET,Anna Keys,D,L,*,USA,Minnesota State U.,9,4,8,0.70,0,1,1,1,1,,1,1,1,1,,,,0,0,,,,0,0,,,,,0.11,0.11,0.44,0.89,0.08,55.56,#DIV/0!,4,1,8,,,5,5,4,0.00,5,4,1,-3,Anna Keys
BOS,Taylor Wasylk,F,L,*,USA,Boston College,4,5,7,3.26,0,4,3,4,3,,4,3,4,3,,,,0,0,,,,0,0,,,,,1.00,0.75,1.25,1.75,0.82,80.00,50.00,4,1,8,2,2,0,3,1,0.00,4,1,3,-3,Taylor Wasylk
MIN,Allie Thunstrom,F,R,,USA,Boston College,24,142,151,48.82,24,12,9,36,33,19,10,7,29,26,3,2,2,5,5,2,,,2,2,,1,,,1.50,1.38,5.92,6.29,2.03,73.91,65.52,3,9,6,19,10,10,5,22,0.17,34,12,22,6,Allie Thunstrom
BOS,Jillian Dempsey,F,L,,USA,Harvard,24,158,176,66.57,17,23,17,40,34,14,18,15,32,29,2,5,2,7,4,1,,,1,1,,,,,1.67,1.42,6.58,7.33,2.77,77.08,62.41,3,14,6,342,206,14,9,25,0.11,37,11,26,11,Jillian Dempsey
BOS,Mary Parker,F,L,,USA,Boston University,17,77,87,31.57,15,9,4,24,19,13,7,4,20,17,2,2,,4,2,,,,0,0,,1,,,1.41,1.12,4.53,5.12,1.86,90.48,53.85,3,4,6,154,132,5,19,22,0.19,19,2,17,1,Mary Parker
MIN,Nicole Schammel,F,L,*,USA,Minnesota,22,150,168,36.53,11,14,10,25,21,8,10,7,18,15,2,3,2,5,4,1,1,1,2,2,,,,,1.14,0.95,6.82,7.64,1.66,66.67,45.95,3,3,6,34,40,2,18,12,0.07,22,11,11,0,Nicole Schammel
BOS,Carlee Toews,F,R,*,CAN,New Hampshire,22,49,57,17.62,7,8,6,15,13,5,5,4,10,9,2,2,1,4,3,,1,1,1,1,,,,,0.68,0.59,2.23,2.59,0.80,60.00,22.22,3,4,6,2,7,8,11,12,0.14,15,10,5,1,Carlee Toews
MIN,Lauren Barnes,F,R,,USA,Minnesota State U.,24,40,49,11.92,2,11,5,13,7,2,9,4,11,6,,1,,1,0,,1,1,1,1,,,,,0.54,0.29,1.67,2.04,0.50,64.71,47.34,3,2,6,169,188,5,9,12,0.05,22,12,10,-1,Lauren Barnes
CTW,Elena Gualtieri,F,L,*,USA,Connecticut College (DIII),16,24,30,5.51,2,2,1,4,3,2,1,1,3,3,,1,,1,0,,,,0,0,,,,,0.25,0.19,1.50,1.88,0.34,31.58,50.00,3,4,6,1,1,4,5,7,0.08,6,13,-7,1,Elena Gualtieri
CTW,Jordan Brickner,D,L,,USA,Wisconsin,10,19,28,6.19,1,6,0,7,1,1,3,,4,1,,3,,3,0,,,,0,0,,,,,0.70,0.10,1.90,2.80,0.62,57.14,0.00,3,1,6,,2,7,2,1,0.05,4,3,1,-2,Jordan Brickner
MET,Kelly Nash,F,R,,USA,Wisconsin,10,20,20,4.26,1,5,3,6,4,1,4,3,5,4,,1,,1,0,,,,0,0,,,,,0.60,0.40,2.00,2.00,0.43,68.18,34.33,3,1,6,23,44,2,9,7,0.05,15,7,8,-2,Kelly Nash
