Team,Player,P,H/C,Rookie,Nat,School,GP,SOG,KSt,GS,G,A,A1,P,P1,ES G,ES A,ES A1,ES P,ES P1,PP G,PP A,PP A1,PP P,PP P1,SH G,SH A,SH A1,SH P,SH P1,PSG,EN,OTG,SOW,Pts/GP,P1/GP,SOG/GP,KSt/GP,GS/GP,5v5 GF%,FO%,PenT,PenD,PIM,FOW,FOL,BkS,GvA,TkA,Sh%,5v5 GF,5v5 GA,DIFF,PenDiff,Player
BOS,Jordan Juron,F,R,,USA,Boston University,8,13,15,3.16,1,2,1,3,2,1,2,1,3,2,,,,0,0,,,,0,0,,,,,0.38,0.25,1.63,1.88,0.40,50.00,41.94,1,1,2,13,18,2,0,3,0.08,3,3,0,0,Jordan Juron
MET,Ashley Johnston,D,L,,CAN,Union,10,7,14,2.77,0,3,1,3,1,,3,1,3,1,,,,0,0,,,,0,0,,,,,0.30,0.10,0.70,1.40,0.28,57.14,#DIV/0!,1,,2,,,14,4,1,0.00,8,6,2,-1,Ashley Johnston
CTW,Brinna Dochniak,D,R,*,USA,RIT,10,8,10,2.21,0,2,1,2,1,,2,1,2,1,,,,0,0,,,,0,0,,,,,0.20,0.10,0.80,1.00,0.22,27.78,#DIV/0!,1,,2,,,0,2,2,0.00,5,13,-8,-1,Brinna Dochniak
MIN,Rose Alleva,D,R,*,USA,Princeton,17,14,,1.14,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,0.00,0.00,0.82,0.00,0.07,70.00,0.00,1,,2,,1,7,4,8,0.00,14,6,8,-1,Rose Alleva
CTW,Janine Weber,F,L,,AUT,Providence,8,22,24,5.39,0,4,2,4,2,,4,2,4,2,,,,0,0,,,,0,0,,,,,0.50,0.25,2.75,3.00,0.67,40.00,100.00,1,1,2,2,,2,5,3,0.00,4,6,-2,0,Janine Weber
CTW,Allie Lacombe,F,R,*,USA,Syracuse,5,6,8,2.45,0,1,1,1,1,,1,1,1,1,,,,0,0,,,,0,0,,,,,0.20,0.20,1.20,1.60,0.49,0.00,63.89,1,2,2,23,13,2,2,3,0.00,,1,-1,1,Allie Lacombe
MET,Bulbul Kartanbay,F,L,*,KZK,[Kazakhstan],10,7,7,0.33,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,0.00,0.00,0.70,0.70,0.03,0.00,0.00,1,1,2,,2,2,4,2,0.00,,3,-3,0,Bulbul Kartanbay
BUF,Marie-Jo Pelletier,D,R,*,CAN,New Hampshire,24,46,67,22.68,6,15,10,21,16,3,6,3,9,6,3,9,7,12,10,,,,0,0,,,1,,0.88,0.67,1.92,2.79,0.95,41.30,0.00,,4,0,,2,30,14,14,0.13,19,27,-8,4,MJ Pelletier
BUF,Kristin Lewicki,F,,,USA,Adrian College (DIII),6,11,12,6.02,2,4,3,6,5,1,4,3,5,4,1,,,1,1,,,,0,0,,,,,1.00,0.83,1.83,2.00,1.00,33.33,0.00,,3,0,,4,2,3,3,0.18,5,10,-5,3,Kristin Lewicki
CTW,Sarah Hughson,F,L,,USA,Elmira College (DIII),22,33,38,8.23,1,4,4,5,5,,3,3,3,3,1,1,1,2,2,,,,0,0,,,,,0.23,0.23,1.50,1.73,0.37,22.22,56.52,,4,0,13,10,6,15,6,0.03,6,21,-15,4,Sarah Hughson
MET,Jayne Lewis,F,,*,USA,Sacred Heart University,2,2,2,,1,2,2,3,3,1,2,2,3,3,,,,0,0,,,,0,0,,,,,1.50,1.50,1.00,1.00,0.00,100.00,#DIV/0!,,,0,,,0,0,2,0.50,2,,,0,Jayne Lewis
CTW,Haley Payne,F,R,,USA,Sacred Heart University,10,5,5,1.50,1,0,0,1,1,1,,,1,1,,,,0,0,,,,0,0,,,,,0.10,0.10,0.50,0.50,0.15,50.00,#DIV/0!,,1,0,,,0,1,3,0.20,1,1,0,1,Haley Payne
MIN,Sam Donovan,F,R,,USA,Brown,6,5,7,1.28,1,0,0,1,1,1,,,1,1,,,,0,0,,,,0,0,,,,,0.17,0.17,0.83,1.17,0.21,100.00,0.00,,1,0,,2,0,1,2,0.20,1,,1,1,Sam Donovan
BUF,Sarah Casorso,D,L,,CAN,Univ. of British Columbia,2,4,4,0.40,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,0.00,0.00,2.00,2.00,0.20,0.00,#DIV/0!,,,,,,,,,0.00,,8,-8,0,Sarah Casorso
MET,Abby Niewchas,D,L,,CAN,Brown,1,0,0,0.00,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,#DIV/0!,,,0,,,1,0,1,#DIV/0!,,1,-1,0,Abby Niewchas
CTW,Maddie Evangelous,F,L,*,USA,Elmira College (DIII),22,21,23,3.00,0,1,1,1,1,,1,1,1,1,,,,0,0,,,,0,0,,,,,0.05,0.05,0.95,1.05,0.14,21.43,#DIV/0!,,2,0,,,7,4,5,0.00,3,11,-8,2,Maddie Evangelous
BUF,Maddie Norton,F,L,*,USA,Univ. of Buffalo (ACHA DII),3,1,1,-0.01,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,0.00,0.00,0.33,0.33,0.00,0.00,0.00,,,0,,1,0,0,0,0.00,,3,-3,0,Maddie Norton
CTW,Katelynn Russ,F,R,*,USA,Union College,2,9,9,0.90,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,0.00,0.00,4.50,4.50,0.45,0.00,#DIV/0!,,,,,,,,,0.00,,1,-1,0,Katelynn Russ
BOS,Whitney Renn,F|D,R,*,USA,RPI,20,14,17,1.40,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,0.00,0.00,0.70,0.85,0.07,75.00,#DIV/0!,,3,,,,9,5,7,0.00,6,2,4,3,Whitney Renn
